Handle,Title,Body (HTML),Vendor,Product Type,Tags,Published,Variant Price,Cost per item,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Image Src
699-nescafe-gold-coffee-jar-200g,Nescafe Gold Coffee Jar 200g,,Fakhr Al Shaeb,Grocery,"Hot Beverages,Coffee,Tea",TRUE,28.00,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/03/nescafe-gold-coffe-200g-2.jpg
697-nescafe-2-in-1-30-small-s,NESCAFE 2 IN 1 30 SMALL S,,Fakhr Al Shaeb,Grocery,"Hot Beverages,Coffee,Tea",TRUE,25.00,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2025/02/8134c4CUbxL._AC_SL1500_.jpg
698-brooke-bond-red-label-black-loose-tea-400g,Brooke Bond Red Label Black Loose Tea 400g,Brand : Brooke Bond,Fakhr Al Shaeb,Grocery,"Hot Beverages,Coffee,Tea",TRUE,12.50,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/03/brook-bond-400g.jpg
700-coast-evaporated-milk-170g-x-48pcs,Coast Evaporated Milk 170g X 48pcs,Cartoon with Best Price,Fakhr Al Shaeb,Grocery,"Hot Beverages,Coffee,Tea",TRUE,65.00,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/03/coast-milk.jpg
700-coast-evaporated-milk-170g-x-48pcs,,,Fakhr Al Shaeb,Grocery,,TRUE,,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/03/coast-milk-ctn.jpg
702-al-hamra-evaporated-milk-170ml-x-48pcs,Al Hamra Evaporated Milk 170ml X 48pcs,,Fakhr Al Shaeb,Grocery,"Hot Beverages,Coffee,Tea",TRUE,69.00,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/03/al-hamra-milk-170ml-2.jpg
701-golden-zaatar-thyme-herb-25bags,Golden Zaatar Thyme Herb 25bags,,Fakhr Al Shaeb,Grocery,"Hot Beverages,Coffee,Tea",TRUE,5.25,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/02/zaatar-tea-bag-1.jpg
701-golden-zaatar-thyme-herb-25bags,,,Fakhr Al Shaeb,Grocery,,TRUE,,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/02/zaatar-tea-bag-2.jpg
703-lipton-yellow-label-tea-100-bags,Lipton Yellow Label Tea 100 Bags,Brand : Lipton,Fakhr Al Shaeb,Grocery,"Hot Beverages,Coffee,Tea",TRUE,14.00,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/04/lipton-tea-bag-100g.jpg
704-lipton-yellow-label-black-tea-powder-800g,Lipton Yellow Label Black Tea Powder 800g,Brand : Lipton,Fakhr Al Shaeb,Grocery,"Hot Beverages,Coffee,Tea",TRUE,35.00,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/03/Lipton-Yellow-Label-Black-Tea-Loose-700g-1577081-01.jpg
705-nescafe-classic-3-in-1-my-cup-stick-20g-x-24pc,Nescafe Classic 3 in 1 My Cup Stick 20g x 24pc,Brand-Nescafe,Fakhr Al Shaeb,Grocery,"Hot Beverages,Coffee,Tea",TRUE,37.00,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/03/nescafe-3-in-1.jpg
707-puck-cream-170g-x-6pcs,Puck Cream 170g X 6pcs,,Fakhr Al Shaeb,Grocery,Longlife Milk,TRUE,19.00,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/03/puck-cream-170g-otr-6-1.jpg
706-nadec-long-life-milk-full-fat-12-x-1ltr,Nadec Long Life Milk Full Fat 12 X 1Ltr,,Fakhr Al Shaeb,Grocery,Longlife Milk,TRUE,45.00,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/04/nadec-full-fat-milk.jpg
706-nadec-long-life-milk-full-fat-12-x-1ltr,,,Fakhr Al Shaeb,Grocery,,TRUE,,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/04/nadec-milk-1ltr.jpg
706-nadec-long-life-milk-full-fat-12-x-1ltr,,,Fakhr Al Shaeb,Grocery,,TRUE,,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/04/nadec-milk1ltr-.jpg
708-lipton-yellow-label-tea-bags-248pcs,Lipton Yellow Label Tea Bags 248pcs,Brand : Lipton,Fakhr Al Shaeb,Grocery,"Hot Beverages,Coffee,Tea",TRUE,23.00,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/03/LIPTON-248-TEA-BAG-1.jpg
709-al-alali-chicken-stock-720g,Al Alali Chicken Stock 720g,Brand : Al Alali,Fakhr Al Shaeb,Grocery,"Gravy & Stock,Cooking Item",TRUE,17.50,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/04/IMG_20200401_105454.jpg
709-al-alali-chicken-stock-720g,,,Fakhr Al Shaeb,Grocery,,TRUE,,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/04/al-ali-stock-2.jpg
712-american-garden-natural-apple-cider-vinegar-473ml,American Garden Natural Apple Cider Vinegar 473ml,Brand : American Garden,Fakhr Al Shaeb,Grocery,Oil,TRUE,5.00,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/03/American-Garden-Organic-Vinegar-Apple-Cider-473ml-1353297-01.jpg
710-primo-tomato-paste-in-cans-100-pcs-x-170g--cartoon-,Primo Tomato Paste In Cans 100 Pcs X 170G  ( Cartoon ),,Fakhr Al Shaeb,Grocery,"Gravy & Stock,Cooking Item",TRUE,44.00,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/08/PRIMO-TOMATO-APSTE-170G.jpg
710-primo-tomato-paste-in-cans-100-pcs-x-170g--cartoon-,,,Fakhr Al Shaeb,Grocery,,TRUE,,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/08/PRIMO-TOMATO-pasTE-170G-2.jpg
711-almarai-pure-butter-ghee-16kg,Almarai Pure Butter Ghee 1.6kg,,Fakhr Al Shaeb,Grocery,Oil,TRUE,72.00,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/09/almarai-pure-butter-1.jpg
711-almarai-pure-butter-ghee-16kg,,,Fakhr Al Shaeb,Grocery,,TRUE,,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/09/pure-butter-1.jpg
715-hayat-oil-15-ltr,hayat oil 1.5 ltr,,Fakhr Al Shaeb,Grocery,Oil,TRUE,8.00,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2022/08/hayat-1.5-ltr.jpg
713-aseel-vegetable-ghee-2-x-500g,Aseel Vegetable Ghee 2 X 500g,Vegetable Ghee Original Taste,Fakhr Al Shaeb,Grocery,Oil,TRUE,12.00,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/03/aseel-ghee-500g-x2.jpg
714-aseel-vegetable-ghee-4kg600g-free,Aseel Vegetable Ghee 4kg+600g free,Vegetable Ghee Original Taste,Fakhr Al Shaeb,Grocery,Oil,TRUE,54.00,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/04/aseel-veg-ghee-4kg.jpg
714-aseel-vegetable-ghee-4kg600g-free,,,Fakhr Al Shaeb,Grocery,,TRUE,,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/04/aseel-veg-ghee-4kg-2.jpg
716-daily-fresh-olive-oil-500ml,Daily Fresh Olive Oil 500ml,,Fakhr Al Shaeb,Grocery,Oil,TRUE,10.50,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/04/df-olive-oil-500ml.jpg
717-real-value-white-vinegar-473ml,Real Value White Vinegar 473ml,Best Price Ever,Fakhr Al Shaeb,Grocery,Oil,TRUE,1.00,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/03/rv-white-vinegar-473-1.jpg
717-real-value-white-vinegar-473ml,,,Fakhr Al Shaeb,Grocery,,TRUE,,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/03/rv-white-vinegar-473-2.jpg
718-amul-pure-ghee-1ltr,Amul Pure Ghee 1Ltr,,Fakhr Al Shaeb,Grocery,Oil,TRUE,33.00,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/02/AMUL-PURE-GHEE-1-LTR.jpg
718-amul-pure-ghee-1ltr,,,Fakhr Al Shaeb,Grocery,,TRUE,,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/02/AMUL-PURE-GHEE-2.jpg
719-eastern-fish-masala-165g,Eastern Fish Masala 165g,Brand : Eastern,Fakhr Al Shaeb,Grocery,"Pulses,Spices & Herbs,Cooking Item",TRUE,5.50,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/03/Eastern-Fish-Masala-165gm-800x800-2.jpg
723-mtc-organic-dried-thyme--zatar--450g-bottle,MTC Organic Dried Thyme ( Zatar ) 450g Bottle,,Fakhr Al Shaeb,Grocery,"Pulses,Spices & Herbs,Cooking Item",TRUE,50.00,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/05/zatar-450g.jpg
725-shan-malay-chicken-biriyani-masala-50g,Shan Malay Chicken Biriyani Masala 50g,,Fakhr Al Shaeb,Grocery,"Pulses,Spices & Herbs,Cooking Item",TRUE,4.00,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/03/Shan_Malay_Chicken_Biryani_Mix_grande.jpg
724-eastern-chicken-masala-160g,Eastern Chicken Masala 160g,,Fakhr Al Shaeb,Grocery,"Pulses,Spices & Herbs,Cooking Item",TRUE,5.25,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/02/eastern-chicken-masala-160g-1-1.jpg
724-eastern-chicken-masala-160g,,,Fakhr Al Shaeb,Grocery,,TRUE,,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/02/eastern-chicken-masala-165-gm-2.jpg
726-tamarind-paste-ship-brand-300g,Tamarind Paste Ship Brand 300g,,Fakhr Al Shaeb,Grocery,"Pulses,Spices & Herbs,Cooking Item",TRUE,2.00,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/02/tamarind-ship-brand-1-1.jpg
727-eastern-kashmiri-chilli-powder-400g,Eastern Kashmiri Chilli Powder 400g,Brand : Eastern,Fakhr Al Shaeb,Grocery,"Pulses,Spices & Herbs,Cooking Item",TRUE,12.00,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/03/easternkashmirichilly400g.jpg
729-dry-lemon-white-500g,Dry Lemon White 500g,,Fakhr Al Shaeb,Grocery,"Pulses,Spices & Herbs,Cooking Item",TRUE,9.95,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/03/dry-lemon-white.jpg
728-foster-clarks-vanilla-essence-28ml-x-12-pieces,Foster Clark’s Vanilla Essence 28ml x 12 Pieces,Brand : Foster Clarks,Fakhr Al Shaeb,Grocery,"Pulses,Spices & Herbs,Cooking Item",TRUE,32.00,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/03/fc-vanila-colour-1.jpg
730-saffron-badiee-10g,Saffron Badiee 10g,Product of Iran,Fakhr Al Shaeb,Grocery,"Pulses,Spices & Herbs,Cooking Item",TRUE,65.00,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/03/safron-badee.jpg
730-saffron-badiee-10g,,,Fakhr Al Shaeb,Grocery,,TRUE,,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/03/badiee-saffron-1.jpg
730-saffron-badiee-10g,,,Fakhr Al Shaeb,Grocery,,TRUE,,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/03/badiee-saffron-2.jpg
