Handle,Title,Body (HTML),Vendor,Product Type,Tags,Published,Variant Price,Cost per item,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Image Src
690-volvic-water-24-x-330-ml,Volvic Water 24 x 330 ml,,Fakhr Al Shaeb,Grocery,Water.,TRUE,97.50,77.90,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2022/01/Volvic-Water.png
693-luna-full-cream-milk-popular-170g-x-48pcs,Luna Full Cream Milk Popular 170g X 48pcs,Brand : Luna,Fakhr Al Shaeb,Grocery,Longlife Milk,TRUE,115.25,92.15,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/04/luna-milk.jpg
693-luna-full-cream-milk-popular-170g-x-48pcs,,,,,,,,,,,,https://www.fakheralshaab.ae/wp-content/uploads/2020/04/luna-milk-ctn.jpg
694-al-kbous-green-tea--100-tea-bags-,Al Kbous Green Tea ( 100 Tea Bags ),,Fakhr Al Shaeb,Grocery,"Hot Beverages,Coffee,Tea",TRUE,14.25,11.40,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/08/AL-KBOUS-GREEN-TEA-100.jpg
694-al-kbous-green-tea--100-tea-bags-,,,,,,,,,,,,https://www.fakheralshaab.ae/wp-content/uploads/2020/08/AL-KBOUS-GREEN-TEA-100-2.jpg
692-brooke-bond-red-label-black-loose-tea-800g,Brooke Bond Red Label Black Loose Tea 800g,,Fakhr Al Shaeb,Grocery,"Hot Beverages,Coffee,Tea",TRUE,42.75,34.20,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/03/brook-bonk-800g-3ctn.jpg
692-brooke-bond-red-label-black-loose-tea-800g,,,,,,,,,,,,https://www.fakheralshaab.ae/wp-content/uploads/2020/03/brook-bonk-800g-2.jpg
695-nescafe-matinal-coffee-200g,Nescafe Matinal Coffee 200g,"Rich in coffee & same like red mug , Available in best price",Fakhr Al Shaeb,Grocery,"Hot Beverages,Coffee,Tea",TRUE,,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/03/nescafe-matinal-1.jpg
696-amazon-tea-5kg,Amazon Tea 5kg,,Fakhr Al Shaeb,Grocery,"Hot Beverages,Coffee,Tea",TRUE,72.50,57.95,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/03/amazon-tea-5kg.jpg
699-nescafe-gold-coffee-jar-200g,Nescafe Gold Coffee Jar 200g,,Fakhr Al Shaeb,Grocery,"Hot Beverages,Coffee,Tea",TRUE,33.25,26.60,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/03/nescafe-gold-coffe-200g-2.jpg
