Handle,Title,Body (HTML),Vendor,Product Type,Tags,Published,Variant Price,Cost per item,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Image Src
434-nadec-cheese-triangle-120g-41,,,Fakhr Al Shaeb,Grocery,,TRUE,,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2021/03/nadec-triangle.jpg
433-almarai-cheese-slice-burger-200-g-x-3--1-free,Almarai Cheese Slice Burger 200 g x 3 + 1 free,Origin: Saudi Arabia,Fakhr Al Shaeb,Grocery,Cheese,TRUE,24.00,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/03/almarai-burger-slice-cheese-otr-2.jpg
433-almarai-cheese-slice-burger-200-g-x-3--1-free,,,Fakhr Al Shaeb,Grocery,,TRUE,,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/03/almarai-burger-slice-cheese-otr-1.jpg
435-almarai-spreadable-cheddar-cheese-500g-x-2pcs,Almarai Spreadable Cheddar Cheese 500g X 2pcs,Origin: Kingdom of Saudi Arabia,Fakhr Al Shaeb,Grocery,Cheese,TRUE,22.00,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/03/almarai-cheese-500x2-1.jpg
436-almarai-slice-cheese-low-fat-200g-x-4pcs,Almarai Slice Cheese Low Fat 200g x 4pcs,"Buy 3 and get 1 Free , Available in best price",Fakhr Al Shaeb,Grocery,Cheese,TRUE,29.00,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/03/Almarai-Cheese-Slices-Low-Fat-200g-otr-1.jpg
437-almarai-cheese-slices-low-fat-200g,Almarai Cheese Slices Low Fat 200g,Brand – Almarai,Fakhr Al Shaeb,Grocery,Cheese,TRUE,8.00,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/03/Almarai-Cheese-Slices-Low-Fat-200g-1.jpg
437-almarai-cheese-slices-low-fat-200g,,,Fakhr Al Shaeb,Grocery,,TRUE,,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/03/Almarai-Cheese-Slices-Low-Fat-200g-201391-02.jpg
439-almarai-spreadable-cream-cheese-full-fat-200g,AlMarai Spreadable Cream Cheese Full Fat 200g,,Fakhr Al Shaeb,Grocery,Cheese,TRUE,7.00,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/02/Al-Marai-Spreadable-Cream-Cheese-Full-Fat-200g-1103233-01.jpg
440-kraft-cheddar-cheese-spread-original-870g,Kraft Cheddar Cheese Spread Original 870g,Brand : Kraft,Fakhr Al Shaeb,Grocery,Cheese,TRUE,22.50,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/04/kraft-cheddar-cheese-870g.jpg-3.jpg
440-kraft-cheddar-cheese-spread-original-870g,,,Fakhr Al Shaeb,Grocery,,TRUE,,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/04/kraft-cheddar-cheese-870g.jpg-2.jpg
445-kelloggs-corn-flakes-450g,Kelloggs Corn Flakes 450g,,Fakhr Al Shaeb,Grocery,"Cereals,Kids,Dariy & Breakfast",TRUE,11.50,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/03/kellogs-cornflakes-450g.jpg
446-kelloggs-coco-pops-chocos-375g,Kellogg’s Coco Pops Chocos 375g,,Fakhr Al Shaeb,Grocery,"Cereals,Kids,Dariy & Breakfast",TRUE,15.00,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/03/choco-pops-375g-pcs-ctn.jpg
444-kraft-cheddar-cheese-spread-original-870g-x-6pcs,Kraft Cheddar Cheese Spread Original 870g X 6pcs,Brand : Kraft,Fakhr Al Shaeb,Grocery,Cheese,TRUE,135.00,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/04/kraft-cheddar-cheese-870g.jpg
